© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
CDK8	activation	RNA polymerase II		
CDK8	localization	MED28		
CDK8	localization	RNA polymerase II		
CDK8	phosphorylation	CDK8		
CDK8	phosphorylation	RNA polymerase II		
CDK8	protein-DNA interactions	ANKRD37		
CDK8	protein-protein interactions	CDK8		
CDK8	protein-protein interactions	MED1		
CDK8	protein-protein interactions	MED23		
CDK8	protein-protein interactions	MED28		
CDK8	protein-protein interactions	RNA polymerase II		
CENPA	localization	CENPI		
CENPA	protein-protein interactions	CENPA		
CENPA	protein-protein interactions	CENPI		
CENPI	protein-protein interactions	CENPA		
CENPP	protein-protein interactions	CENPI		
DDX5	localization	RNA polymerase II		
DDX5	protein-protein interactions	AGO1		
DDX5	protein-protein interactions	CENPA		
DDX5	protein-protein interactions	DDX5		
DDX5	protein-protein interactions	RNA polymerase II		
HNRNPH2	protein-protein interactions	DDX5		
HNRNPH2	protein-protein interactions	HNRNPH2		
KIAA1429	protein-protein interactions	CENPA		
MED1	activation	MED1		
MED1	expression	CENPA		
MED1	expression	TNNT1		
MED1	localization	RNA polymerase II		
MED1	protein-DNA interactions	ANKRD37		
MED1	protein-protein interactions	CDK8		
MED1	protein-protein interactions	MED1		
MED1	protein-protein interactions	MED23		
MED1	protein-protein interactions	MED28		
MED1	protein-protein interactions	RNA polymerase II		
MED1	protein-protein interactions	THRA		
MED1	regulation of binding	THRA		
MED20	protein-protein interactions	CDK8		
MED20	protein-protein interactions	MED1		
MED23	protein-protein interactions	CDK8		
MED23	protein-protein interactions	MED1		
MED23	protein-protein interactions	MED28		
MED23	protein-protein interactions	RNA polymerase II		
MED23	regulation of binding	CDK8		
MED28	localization	CDK8		
MED28	protein-protein interactions	CDK8		
MED28	protein-protein interactions	MED1		
MED28	protein-protein interactions	MED20		
MED28	protein-protein interactions	MED23		
MED28	protein-protein interactions	MED28		
MED28	protein-protein interactions	RNA polymerase II		
PHIP	protein-protein interactions	CENPA		
PLOD1	protein-protein interactions	PLOD1		
PRKDC	protein-protein interactions	AGO1		
PRKDC	protein-protein interactions	CDK8		
PRKDC	protein-protein interactions	CENPA		
PRKDC	protein-protein interactions	DDX5		
PRKDC	protein-protein interactions	PRKDC		
PRKDC	regulation of binding	PRKDC		
QKI	protein-protein interactions	HNRNPH2		
QKI	protein-protein interactions	MED1		
QKI	protein-protein interactions	MED23		
QKI	protein-protein interactions	QKI		
QKI	translocation	QKI		
RBFOX2	protein-protein interactions	DDX5		
RBFOX2	protein-protein interactions	HNRNPH2		
RBFOX2	protein-protein interactions	PUM1		
RBFOX2	protein-protein interactions	QKI		
RBFOX2	protein-protein interactions	RBFOX2		
RNA polymerase II	molecular cleavage	RNA polymerase II		
RNA polymerase II	protein-DNA interactions	IGDCC3		
RNA polymerase II	protein-DNA interactions	PRR15L		
RNA polymerase II	protein-DNA interactions	SLC9A8		
RNA polymerase II	protein-DNA interactions	TNNT1		
RNA polymerase II	protein-protein interactions	AGO1		
RNA polymerase II	protein-protein interactions	CDK8		
RNA polymerase II	protein-protein interactions	DDX5		
RNA polymerase II	protein-protein interactions	MED1		
RNA polymerase II	protein-protein interactions	MED20		
RNA polymerase II	protein-protein interactions	MED23		
SNAI2	expression	SNAI2		
SNAI2	molecular cleavage	SNAI2		
SNAI2	protein-protein interactions	PRKDC		
SNAI2	regulation of binding	RNA polymerase II		
SNAI2	translocation	SNAI2		
SUPT7L	protein-protein interactions	MED1		
THRA	activation	THRA		
THRA	localization	RNA polymerase II		
THRA	protein-DNA interactions	THRB		
THRA	protein-protein interactions	CDK8		
THRA	protein-protein interactions	MED1		
THRA	protein-protein interactions	PLOD1		
THRA	protein-protein interactions	PRKDC		
THRA	protein-protein interactions	THRA		
THRA	protein-protein interactions	THRB		
THRA	regulation of binding	MED1		
THRA	regulation of binding	THRA		
THRB	expression	FZD6		
THRB	expression	THRB		
THRB	protein-DNA interactions	THRB		
THRB	protein-protein interactions	MED1		
THRB	protein-protein interactions	PRKDC		
THRB	protein-protein interactions	THRA		
THRB	protein-protein interactions	THRB		
THRB	regulation of binding	THRA		
THRB	regulation of binding	THRB		
TNNT1	protein-protein interactions	DDX5		
TNNT1	protein-protein interactions	SEC31A		
TNNT1	protein-protein interactions	TNNT1		
TRIP4	protein-protein interactions	MED1		
TRIP4	protein-protein interactions	MED23		
TRIP4	protein-protein interactions	MED28		
TRIP4	protein-protein interactions	THRB		
TTI2	protein-protein interactions	PRKDC		
USP22	protein-protein interactions	SUPT7L		
WDTC1	protein-protein interactions	MED23		
ZKSCAN5	protein-protein interactions	TNNT1		
