© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ACY3	molecular cleavage	ACY3		
ACY3	protein-protein interactions	ACY3		
ARHGAP25	protein-protein interactions	AP5B1		
BEND7	protein-protein interactions	BEND7		
CUTC	protein-protein interactions	CUTC		
DMC1	protein-protein interactions	DMC1		
DSTYK	protein-protein interactions	ARHGAP25		
FAM133A	protein-protein interactions	BEND7		
GORASP2	protein-protein interactions	ACY3		
GORASP2	protein-protein interactions	CCDC153		
GORASP2	protein-protein interactions	DMC1		
HMBOX1	protein-protein interactions	FAM206A		
HMBOX1	protein-protein interactions	HMBOX1		
NAA15	protein-protein interactions	MBD5		
NAA15	protein-protein interactions	NAA15		
NAA16	protein-protein interactions	NAA15		
NAA20	protein-protein interactions	NAA15		
NAA25	protein-protein interactions	NAA20		
NIF3L1	protein-protein interactions	AP5B1		
NIF3L1	protein-protein interactions	ARPIN/C15orf38-AP3S2		
NIF3L1	protein-protein interactions	BEND7		
NIF3L1	protein-protein interactions	CUTC		
NIF3L1	protein-protein interactions	DMC1		
NIF3L1	protein-protein interactions	FAM49B		
NIF3L1	protein-protein interactions	NATD1		
NIF3L1	protein-protein interactions	NIF3L1		
PLCG2	protein-protein interactions	PLCG2		
RAD54B	protein-protein interactions	DMC1		
RAD54B	protein-protein interactions	GORASP2		
RAD54B	protein-protein interactions	NIF3L1		
RAD54B	protein-protein interactions	PLCG2		
RAD54B	protein-protein interactions	RAD54B		
SDCBP2	protein-protein interactions	BEND7		
SDCBP2	protein-protein interactions	FAM133A		
SDCBP2	protein-protein interactions	SDCBP2		
TCEANC	protein-protein interactions	HMBOX1		
TCEANC	protein-protein interactions	RAD54B		
TEKT3	protein-protein interactions	GORASP2		
THOC7	protein-protein interactions	NIF3L1		
UBA6	protein-protein interactions	ARHGAP25		
UBA6	protein-protein interactions	HMBOX1		
UBA6	protein-protein interactions	MBD5		
UBE2T	protein-protein interactions	MBD5		
UBE2T	protein-protein interactions	RNF144B		
UBE2T	protein-protein interactions	UBA6		
UBE2T	protein-protein interactions	UBE2T		
UBXN2B	protein-protein interactions	NIF3L1		
UCK1	protein-protein interactions	PLCG2		
UCK1	protein-protein interactions	UCK1		
ZKSCAN7	protein-protein interactions	PLCG2		
ZKSCAN7	protein-protein interactions	TCEANC		
ZMAT1	protein-protein interactions	GORASP2		
ZSCAN12	protein-protein interactions	ZKSCAN7		
ZSCAN12	protein-protein interactions	ZSCAN12		
