© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
BEX2	activation	LMO2		
BEX2	protein-protein interactions	LMO2		
CALCOCO2	protein-protein interactions	BEX2		
CALCOCO2	protein-protein interactions	CALCOCO2		
CCNH	inhibition	Cdc2		
CCNH	phosphorylation	Cdc2		
CCNH	protein-DNA interactions	CCNH		
CCNH	protein-protein interactions	CALCOCO2		
CMTM5	protein-protein interactions	ARMC9		
Cdc2	activation	Cdc2		
Cdc2	activation	IL16		
Cdc2	phosphorylation	IL16		
FAM114A1	protein-protein interactions	CMTM5		
FAM168A	protein-protein interactions	CALCOCO2		
FAM168A	protein-protein interactions	FAM168A		
GABPA	inhibition	GABPA		
GABPA	molecular cleavage	GABPA		
GABPA	protein-DNA interactions	IL16		
GABPA	regulation of binding	GABPA		
GLTP	protein-protein interactions	CMTM5		
HRH4	localization	IL16		
IL16	protein-protein interactions	IL16		
ITPKC	protein-protein interactions	IL16		
LMO2	molecular cleavage	LMO2		
LMO2	protein-protein interactions	BEX2		
LMO2	protein-protein interactions	CALCOCO2		
LMO2	protein-protein interactions	CMTM5		
LMO2	protein-protein interactions	IFT43		
LMO2	protein-protein interactions	LMO2		
LMO2	transcription	NDN		
LMO2	ubiquitination	LMO2		
NDN	protein-protein interactions	CALCOCO2		
NDN	protein-protein interactions	EEF1AKMT1		
NDN	protein-protein interactions	LAX1		
NDN	protein-protein interactions	LPXN		
NDN	protein-protein interactions	NDN		
PHF21A	protein-protein interactions	LPXN		
PITPNC1	protein-protein interactions	CMTM5		
PPFIA1	protein-protein interactions	CCNH		
PPFIA1	protein-protein interactions	NDN		
PPFIA1	protein-protein interactions	PPFIA1		
RAB3IP	activation	RAB3IP		
RAB3IP	inhibition	RAB3IP		
RAB3IP	modification	RAB3IP		
RAB3IP	modification	RAB8A		
RAB3IP	protein-protein interactions	RAB3IP		
RAB3IP	protein-protein interactions	RAB8A		
RAB8A	activation	RAB8A		
RAB8A	phosphorylation	RAB8A		
RAB8A	protein-protein interactions	LAX1		
RAB8A	protein-protein interactions	RAB3IP		
RAB8A	protein-protein interactions	RAB8A		
RBFOX1	protein-protein interactions	FAM168A		
RBFOX1	protein-protein interactions	RBFOX1		
SSX2IP	localization	RAB8A		
SSX2IP	protein-protein interactions	BEX2		
SSX2IP	protein-protein interactions	CCDC138		
SSX2IP	protein-protein interactions	CCNH		
SSX2IP	protein-protein interactions	LMO2		
SSX2IP	protein-protein interactions	NDN		
SSX2IP	protein-protein interactions	SSX2IP		
TBK1	activation	TBK1		
TBK1	protein-protein interactions	CALCOCO2		
TBK1	protein-protein interactions	TBK1		
TBK1	regulation of binding	TBK1		
TNIP1	protein-protein interactions	FAM168A		
TNIP1	protein-protein interactions	RBFOX1		
TNIP1	protein-protein interactions	TBK1		
TNIP1	protein-protein interactions	TCEANC2		
TNIP1	protein-protein interactions	TNIP1		
TNIP3	protein-protein interactions	TBK1		
TNIP3	protein-protein interactions	TNIP1		
TRAPPC4	protein-protein interactions	RAB3IP		
TRAPPC4	protein-protein interactions	TRAPPC4		
TXLNA	protein-protein interactions	PPFIA1		
TXLNA	protein-protein interactions	TBK1		
TXLNA	protein-protein interactions	TNIP1		
TXLNA	protein-protein interactions	TXLNA		
TXLNB	protein-protein interactions	LPXN		
TXLNB	protein-protein interactions	TBK1		
TXLNB	protein-protein interactions	TXLNA		
TXLNB	protein-protein interactions	TXLNB		
TXLNG	protein-protein interactions	TBK1		
TXLNG	protein-protein interactions	TXLNA		
TXLNG	protein-protein interactions	TXLNB		
