© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ANKRD13A	regulation of binding	ANKRD13A		
ARRDC1	protein-protein interactions	ANKRD13A		
HERC4	protein-protein interactions	HERC4		
HERC6	protein-protein interactions	HERC3		
HERC6	protein-protein interactions	HERC4		
HIVEP3	inhibition	HIVEP3		
ITCH	activation	ITCH		
ITCH	inhibition	ITCH		
ITCH	phosphorylation	ITCH		
ITCH	protein-protein interactions	ARRDC1		
ITCH	protein-protein interactions	ARRDC3		
ITCH	protein-protein interactions	ITCH		
ITCH	ubiquitination	ITCH		
LDLRAD4	protein-protein interactions	ANKRD13A		
LDLRAD4	protein-protein interactions	HECW1		
LDLRAD4	protein-protein interactions	ITCH		
MOGAT2	protein-protein interactions	HERC3		
N4BP1	protein-protein interactions	ITCH		
N4BP1	regulation of binding	ITCH		
N4BP1	ubiquitination	ITCH		
N4BP1	ubiquitination	N4BP1		
PDK2	protein-protein interactions	PDK2		
PTGER4	expression	ARRDC3		
PTGER4	expression	GLIS3		
PTGER4	expression	HERC6		
PTGER4	expression	HIVEP3		
PTGER4	expression	NXPE3		
PTGER4	expression	PDK2		
PTGER4	expression	SHISA3		
PTGER4	expression	TP53INP1		
PTGER4	expression	ZDHHC14		
RNF114	protein-protein interactions	RNF114		
RNF25	ubiquitination	RNF25		
SPG20	protein-protein interactions	ITCH		
TP53INP1	expression	TP53INP1		
UBE2D1	protein-protein interactions	CADPS2		
UBE2D1	protein-protein interactions	HERC3		
UBE2D1	protein-protein interactions	RNF10		
UBE2D1	protein-protein interactions	RNF114		
UBE2D1	protein-protein interactions	RNF150		
UBE2D1	protein-protein interactions	RNF165		
UBE2D1	protein-protein interactions	RNF25		
UBE2D1	protein-protein interactions	UBE2D1		
UBE2D1	protein-protein interactions	ZSWIM2		
UBE2D1	ubiquitination	ZSWIM2		
UBE2E3	molecular cleavage	UBE2E3		
UBE2E3	protein-protein interactions	ARRDC1		
UBE2E3	protein-protein interactions	CADPS2		
UBE2E3	protein-protein interactions	CCDC121		
UBE2E3	protein-protein interactions	HERC4		
UBE2E3	protein-protein interactions	ITCH		
UBE2E3	protein-protein interactions	RNF10		
UBE2E3	protein-protein interactions	RNF114		
UBE2E3	protein-protein interactions	RNF150		
UBE2E3	protein-protein interactions	RNF165		
UBE2E3	protein-protein interactions	RNF25		
UBE2E3	protein-protein interactions	UBE2E3		
UBE2U	protein-protein interactions	CADPS2		
UBE2U	protein-protein interactions	RNF10		
UBE2U	protein-protein interactions	RNF114		
UBE2U	protein-protein interactions	RNF150		
UBE2U	protein-protein interactions	RNF25		
UBE2W	protein-protein interactions	CADPS2		
UBE2W	protein-protein interactions	RNF10		
UBE2W	protein-protein interactions	RNF114		
UBE2W	protein-protein interactions	RNF150		
UBE2W	protein-protein interactions	RNF165		
UBE2W	protein-protein interactions	UBE2W		
UFL1	protein-protein interactions	UBE2D1		
UFL1	protein-protein interactions	UBE2E3		
UFL1	protein-protein interactions	UBE2W		
WWP1	protein-protein interactions	ARRDC1		
WWP1	protein-protein interactions	ARRDC3		
WWP1	protein-protein interactions	HIVEP3		
WWP1	protein-protein interactions	LDLRAD4		
WWP1	protein-protein interactions	SPG20		
WWP1	protein-protein interactions	WWP1		
WWP1	ubiquitination	ARRDC1		
ZNRF1	activation	ZNRF1		
ZNRF1	protein-protein interactions	UBE2D1		
ZNRF1	protein-protein interactions	UBE2E3		
ZNRF1	protein-protein interactions	UBE2W		
ZNRF1	protein-protein interactions	ZNRF1		
ZSWIM2	protein-protein interactions	UBE2D1		
ZSWIM2	protein-protein interactions	UBE2U		
ZSWIM2	protein-protein interactions	ZSWIM2		
ZSWIM2	ubiquitination	ZSWIM2		
