© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
BLMH	protein-protein interactions	BLMH		
DAPK2	protein-protein interactions	DAPK2		
DLL4	expression	HEY2		
HERP	membership	HEY2		
LNX1	protein-protein interactions	APOL4		
LNX1	protein-protein interactions	GAS2L2		
LNX1	protein-protein interactions	LGR6		
LNX1	protein-protein interactions	LNX1		
LNX1	regulation of binding	LNX1		
LNX2	expression	HEY2		
LNX2	protein-protein interactions	LNX1		
LNX2	protein-protein interactions	LNX2		
LRRC3B	protein-protein interactions	LNX1		
MIB1	expression	HEY2		
MIB1	protein-protein interactions	ADGRL3		
MIB1	protein-protein interactions	ANKRD34C		
MIB1	protein-protein interactions	BLMH		
MIB1	protein-protein interactions	CBLN3		
MIB1	protein-protein interactions	DLL4		
MIB1	protein-protein interactions	MCM3		
MIB1	protein-protein interactions	MIB1		
MIB1	ubiquitination	DAPK2		
PDZRN4	protein-protein interactions	LNX1		
PDZRN4	protein-protein interactions	LNX2		
RUFY4	protein-protein interactions	LNX1		
SBNO1	protein-protein interactions	MIB1		
SECISBP2L	protein-protein interactions	MIB1		
SNCAIP	activation	SNCAIP		
SNCAIP	molecular cleavage	SNCAIP		
SNCAIP	phosphorylation	SNCAIP		
SNCAIP	protein-protein interactions	HERP		
SNCAIP	protein-protein interactions	SNCAIP		
SNCAIP	ubiquitination	SNCAIP		
SPHKAP	protein-protein interactions	LNX1		
STXBP5L	protein-protein interactions	DNAAF3		
STXBP5L	protein-protein interactions	FSTL4		
STXBP5L	protein-protein interactions	MCM3		
STXBP5L	protein-protein interactions	SPHKAP		
STXBP5L	protein-protein interactions	STXBP5L		
TBC1D30	protein-protein interactions	MIB1		
TCEAL3	protein-protein interactions	STXBP5L		
TOP3A	protein-protein interactions	MIB1		
TOP3A	protein-protein interactions	TOP3A		
TRIM23	protein-protein interactions	CCDC25		
TRIM23	protein-protein interactions	LNX1		
TRIM23	protein-protein interactions	TRIM23		
TRIM23	ubiquitination	TRIM23		
UBA1	protein-protein interactions	MCM3		
UBA1	protein-protein interactions	UBA1		
UBE2H	protein-protein interactions	RNF133		
UBE2H	protein-protein interactions	TRIM23		
UBE2H	protein-protein interactions	UBA1		
UBE2H	protein-protein interactions	UBE2H		
ZC2HC1A	protein-protein interactions	MIB1		
ZMPSTE24	protein-protein interactions	STXBP5L		
