© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
PIGB	protein-protein interactions	PIGH		
PIGX	protein-protein interactions	PIGM		
PLVAP	protein-protein interactions	OSBPL11		
POMK	protein-protein interactions	PIGB		
POMK	protein-protein interactions	PIGM		
POMK	protein-protein interactions	PKDCC		
REEP4	protein-protein interactions	POMK		
RNF125	protein-protein interactions	RNF125		
RNF187	protein-protein interactions	RNF187		
SLC19A2	protein-protein interactions	POMK		
SLC35F2	protein-protein interactions	POMK		
SLC8A3	expression	SLC8A3		
SLC8A3	protein-protein interactions	REEP4		
SLC8A3	protein-protein interactions	SLC8A2		
SPPL2B	protein-protein interactions	SLC8A3		
STARD7	protein-protein interactions	PIGM		
TMEM120A	protein-protein interactions	POMK		
TMEM186	protein-protein interactions	TM4SF20		
TMEM43	protein-protein interactions	SLC8A3		
TMEM43	protein-protein interactions	TM4SF20		
TMPPE	protein-protein interactions	POMK		
TPST2	protein-protein interactions	TPST1		
TYW1B	protein-protein interactions	POMK		
Vegf	expression	OR7C2		
Vegf	expression	PKDCC		
Vegf	expression	PLVAP		
Vegf	expression	RNF125		
Vegf	expression	RNF187		
Vegf	expression	SCML4		
Vegf	expression	SHISA2		
Vegf	expression	SLC19A2		
Vegf	expression	TBC1D8		
Vegf	expression	TCF23		
Vegf	expression	TMEM158		
Vegf	expression	TPST1		
Vegf	expression	Vegf		
Vegf	regulation of binding	Vegf		
Vegf	translocation	Vegf		
XYLT2	protein-protein interactions	POMK		
YIF1A	protein-protein interactions	POMK		
ZDHHC6	protein-protein interactions	PLVAP		
ZDHHC6	protein-protein interactions	POMK		
