From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ELAVL1	expression	ELAVL1		
ELAVL1	molecular cleavage	ELAVL1		
ELAVL1	protein-RNA interactions	AAED1		
ELAVL1	protein-RNA interactions	ADAMTSL5		
ELAVL1	protein-RNA interactions	ADAT1		
ELAVL1	protein-RNA interactions	ANKRD10		
ELAVL1	protein-RNA interactions	ANXA2R		
ELAVL1	protein-RNA interactions	ARHGEF35		
ELAVL1	protein-RNA interactions	BCDIN3D		
ELAVL1	protein-RNA interactions	BLCAP		
ELAVL1	protein-RNA interactions	C2CD2		
ELAVL1	protein-RNA interactions	C3orf33		
ELAVL1	protein-RNA interactions	C5orf51		
ELAVL1	protein-RNA interactions	C9orf64		
ELAVL1	protein-RNA interactions	C9orf91		
ELAVL1	protein-RNA interactions	CAAP1		
ELAVL1	protein-RNA interactions	CASC10		
ELAVL1	protein-RNA interactions	CASD1		
ELAVL1	protein-RNA interactions	CDR2L		
ELAVL1	protein-RNA interactions	DENND1C		
ELAVL1	protein-RNA interactions	DUSP28		
ELAVL1	protein-RNA interactions	DZANK1		
ELAVL1	protein-RNA interactions	ELAVL1		
ELAVL1	protein-protein interactions	ELAVL1		
FAM105A	protein-RNA interactions	ELAVL1		
FAM131A	protein-RNA interactions	ELAVL1		
FAM13B	protein-RNA interactions	ELAVL1		
FAM199X	protein-RNA interactions	ELAVL1		
FAM83F	protein-RNA interactions	ELAVL1		
FOXJ2	protein-RNA interactions	ELAVL1		
FOXJ2	protein-protein interactions	FOXJ2		
GDPGP1	protein-RNA interactions	ELAVL1		
GK5	protein-RNA interactions	ELAVL1		
GLOD4	protein-RNA interactions	ELAVL1		
GPR3	expression	GPR3		
GPR3	protein-RNA interactions	ELAVL1		
HIBADH	protein-RNA interactions	ELAVL1		
HIBADH	protein-protein interactions	HIBADH		
IER3IP1	protein-RNA interactions	ELAVL1		
IER3IP1	protein-protein interactions	ANKRD34A		
ISOC1	protein-RNA interactions	ELAVL1		
