From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
CHST8	protein-protein interactions	ARL10		
CHST8	protein-protein interactions	CHCHD2		
CRYBB1	protein-protein interactions	CRYBA2		
CRYBB1	protein-protein interactions	CRYBA4		
CRYBB1	protein-protein interactions	CRYBB1		
CRYBB2	protein-protein interactions	CRYBA2		
CRYBB2	protein-protein interactions	CRYBA4		
CRYBB2	protein-protein interactions	CRYBB2		
CRYBB3	protein-protein interactions	CRYBA2		
CRYBB3	protein-protein interactions	CRYBB3		
DMRT1	expression	ATP13A4		
DMRT1	expression	CST9L		
DMRT1	expression	EPPIN-WFDC6		
DMRT1	expression	GJA3		
DMRT1	protein-DNA interactions	ADAMTS19		
DMRT1	protein-DNA interactions	DMRT1		
DMRT1	protein-DNA interactions	DMRT3		
DMRT1	protein-DNA interactions	DMRTA2		
DMRT1	protein-DNA interactions	DMRTC2		
DMRT1	protein-DNA interactions	EPX		
DMRT1	protein-DNA interactions	GJA3		
DMRT1	protein-DNA interactions	HOXD1		
DMRT1	protein-DNA interactions	IZUMO1R		
DMRTC2	protein-protein interactions	ABTB1		
FNTA	protein-protein interactions	FNTA		
FOXI2	protein-protein interactions	CMSS1		
FOXI2	protein-protein interactions	FOXI2		
G protein beta gamma	activation	ADCY4		
G protein beta gamma	activation	K Channel		
G protein beta gamma	protein-protein interactions	FNDC1		
G protein beta gamma	protein-protein interactions	K Channel		
GAL3ST1	localization	K Channel		
GAL3ST1	protein-protein interactions	CHST8		
GJA3	expression	GJA8		
GJA3	molecular cleavage	CRYBB2		
HES4	protein-protein interactions	ATP13A4		
HES4	protein-protein interactions	CMSS1		
HEYL	protein-protein interactions	ARL10		
HEYL	protein-protein interactions	FNTA		
INCA1	protein-protein interactions	CABP5		
INCA1	protein-protein interactions	CHCHD2		
INCA1	protein-protein interactions	DMRT3		
JMJD4	protein-protein interactions	CHST8		
K Channel	protein-protein interactions	G protein beta gamma		
