From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
Eif4ebp	regulation of binding	Eif4ebp		
KLHL41	protein-protein interactions	KLHL40		
KLHL41	protein-protein interactions	KLHL41		
KNSTRN	protein-protein interactions	KNSTRN		
LIMK1	activation	LIMK1		
LIMK1	expression	LIMK1		
LIMK1	protein-protein interactions	LIMK1		
LIMK2	protein-protein interactions	LIMK1		
LMOD3	protein-protein interactions	KLHL40		
MAGED1	localization	MAGED1		
MAGED1	molecular cleavage	MAGED1		
MAGED1	protein-protein interactions	KRTAP19-5		
MAGED1	protein-protein interactions	MAGED1		
MAK	protein-protein interactions	MAK		
MAPK3	activation	MAPK3		
MAPK3	expression	MYRF		
MAPK3	inhibition	Eif4ebp		
MAPK3	inhibition	MAPK3		
MAPK3	phosphorylation	Eif4ebp		
MAPK3	phosphorylation	MAPK3		
MAPK3	protein-protein interactions	LMAN1		
MAPK3	protein-protein interactions	MAGED1		
MAPK3	protein-protein interactions	MAPK3		
MAPK3	regulation of binding	NAGPA		
MAPK6	protein-protein interactions	KDSR		
MAPK6	protein-protein interactions	KNSTRN		
MAPK6	protein-protein interactions	MAPK6		
MBOAT7	protein-protein interactions	MAPK6		
MCFD2	protein-protein interactions	LMAN1		
METTL17	protein-protein interactions	MAPK6		
METTL2A	protein-protein interactions	MAPK6		
MPHOSPH6	protein-protein interactions	KNSTRN		
MTHFD1	protein-protein interactions	MTHFD1		
MTHFD1L	protein-protein interactions	MAGED1		
MTHFD1L	protein-protein interactions	MAPK3		
MYOZ3	protein-protein interactions	KLHL40		
MYOZ3	protein-protein interactions	MAPK6		
NAT9	protein-protein interactions	MAPK6		
NAT9	protein-protein interactions	NAT9		
NRAP	protein-protein interactions	KLHL40		
NRAP	protein-protein interactions	KLHL41		
NUDT18	protein-protein interactions	NAT9		
NUP205	protein-protein interactions	MAGED1		
alcohol group acceptor phosphotransferase	membership	LIMK1		
alcohol group acceptor phosphotransferase	membership	LIMK2		
alcohol group acceptor phosphotransferase	membership	MAK		
alcohol group acceptor phosphotransferase	membership	MAPK3		
alcohol group acceptor phosphotransferase	membership	MAPK6		
endothelin receptor	activation	MAPK3		
methenyltetrahydrofolate cyclohydrolase	membership	MTHFD1		
methenyltetrahydrofolate cyclohydrolase	membership	MTHFD1L		
methenyltetrahydrofolate cyclohydrolase	membership	MTHFD2L		
methylenetetrahydrofolate dehydrogenase (NADP)	membership	MTHFD1		
methylenetetrahydrofolate dehydrogenase (NADP)	membership	MTHFD1L		
methylenetetrahydrofolate dehydrogenase (NADP)	membership	MTHFD2L		
mir-134	expression	LIMK1		
mir-497	RNA-RNA interactions: microRNA targeting	MAPK3		
mir-497	expression	MAPK3		
