From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ANXA7	protein-protein interactions	ACTL6B		
ANXA7	protein-protein interactions	ADAMTS10		
CABLES2	protein-protein interactions	C2CD5		
CDCA2	expression	CDKN1A		
CDKN1A	activation	CDKN1A		
CDKN1A	expression	CDKN1A		
CDKN1A	expression	CHAF1B		
CDKN1A	expression	DSE		
CDKN1A	inhibition	CDKN1A		
CDKN1A	inhibition	Cyclin D1/cdk4		
CDKN1A	localization	CDKN1A		
CDKN1A	modification	CDKN1A		
CDKN1A	molecular cleavage	CDKN1A		
CDKN1A	protein-DNA interactions	CDKN1A		
CDKN1A	protein-protein interactions	ACTL6B		
CDKN1A	protein-protein interactions	ADAMTS10		
CDKN1A	protein-protein interactions	C2CD5		
CDKN1A	protein-protein interactions	CABLES2		
CDKN1A	protein-protein interactions	CDKN1A		
CDKN1A	regulation of binding	CDKN1A		
CDKN1A	transcription	CDKN1A		
CDKN1A	ubiquitination	CDKN1A		
COMTD1	protein-protein interactions	COMTD1		
CPNE2	protein-protein interactions	ANXA7		
CPNE2	protein-protein interactions	CDKN1A		
CPSF3L	protein-protein interactions	ANXA7		
CSAD	protein-protein interactions	ANXA7		
CSAD	protein-protein interactions	CDKN1A		
CTBP1-AS2	expression	CDKN1A		
Cyclin D1/cdk4	activation	CHAF1B		
DCLK3	protein-protein interactions	C2CD5		
DCLK3	protein-protein interactions	CABLES2		
DCLK3	protein-protein interactions	CDKN1A		
DEAF1	protein-DNA interactions	DEAF1		
DEAF1	protein-protein interactions	CDKN1A		
DEAF1	protein-protein interactions	DEAF1		
DSE	protein-protein interactions	CPSF3L		
EXOC3L1	expression	CDKN1A		
EXT1	protein-protein interactions	EXT1		
EXT2	protein-protein interactions	ANXA7		
EXT2	protein-protein interactions	CDKN1A		
EXT2	protein-protein interactions	CLEC2L		
EXT2	protein-protein interactions	EXT1		
EXT2	protein-protein interactions	EXT2		
FBN3	protein-protein interactions	ANXA7		
FBN3	protein-protein interactions	CDKN1A		
FIBP	protein-protein interactions	C2CD5		
FIBP	protein-protein interactions	CABLES2		
FIBP	protein-protein interactions	CDKN1A		
FIBP	protein-protein interactions	CLEC2L		
FIBP	protein-protein interactions	DCLK3		
HEATR3	protein-protein interactions	COMTD1		
INIP	protein-protein interactions	COMTD1		
INIP	protein-protein interactions	INTS3		
INTS1	protein-protein interactions	CPSF3L		
INTS1	protein-protein interactions	DEAF1		
INTS1	protein-protein interactions	INTS10		
INTS1	protein-protein interactions	INTS12		
INTS1	protein-protein interactions	INTS6L		
INTS10	protein-protein interactions	CPSF3L		
INTS12	protein-protein interactions	INTS10		
INTS3	protein-protein interactions	COMTD1		
INTS3	protein-protein interactions	CPSF3L		
INTS3	protein-protein interactions	INIP		
INTS3	protein-protein interactions	INTS1		
INTS3	protein-protein interactions	INTS10		
INTS3	protein-protein interactions	INTS12		
INTS3	protein-protein interactions	INTS6L		
INTS4	protein-protein interactions	INTS1		
INTS4	protein-protein interactions	INTS10		
INTS4	protein-protein interactions	INTS3		
INTS5	protein-protein interactions	CPSF3L		
INTS5	protein-protein interactions	INTS1		
INTS5	protein-protein interactions	INTS10		
INTS5	protein-protein interactions	INTS12		
INTS5	protein-protein interactions	INTS3		
INTS5	protein-protein interactions	INTS4		
INTS5	protein-protein interactions	INTS6L		
INTS6	protein-protein interactions	CPSF3L		
INTS6	protein-protein interactions	INTS1		
INTS6	protein-protein interactions	INTS10		
INTS6	protein-protein interactions	INTS12		
INTS6	protein-protein interactions	INTS3		
INTS6	protein-protein interactions	INTS4		
INTS6	protein-protein interactions	INTS5		
INTS6	protein-protein interactions	INTS6L		
glucuronosyl-N-acetylglucosaminyl-proteoglycan	membership	EXT1		
glucuronosyl-N-acetylglucosaminyl-proteoglycan	membership	EXT2		
glucuronosyl-N-acetylglucosaminyl-proteoglycan	membership	EXTL1		
