From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
BBS5	protein-protein interactions	BBS4		
BEGAIN	protein-protein interactions	BEGAIN		
CAMK2N1	inhibition	ERK		
CCDC102B	protein-protein interactions	ARL4A		
CCDC102B	protein-protein interactions	ARL4D		
CCDC102B	protein-protein interactions	C20orf195		
CCDC102B	protein-protein interactions	CCDC102A		
CCDC102B	protein-protein interactions	CCDC102B		
CD300LD	activation	ERK		
CD300LD	protein-protein interactions	CD300E		
CD300LD	protein-protein interactions	CD300LB		
CDCA5	protein-protein interactions	CDCA5		
CEP104	protein-protein interactions	CCP110		
CEP131	protein-protein interactions	CC2D2A		
CEP131	protein-protein interactions	CCDC13		
CEP131	protein-protein interactions	CEP131		
CEP162	protein-protein interactions	BBS4		
CEP162	protein-protein interactions	BSPRY		
CEP162	protein-protein interactions	CCP110		
CEP162	protein-protein interactions	CEP131		
CEP19	protein-protein interactions	CCDC102B		
CEP290	protein-protein interactions	BBS4		
CEP290	protein-protein interactions	CCDC102A		
CEP290	protein-protein interactions	CCDC13		
CEP290	protein-protein interactions	CCP110		
CEP290	protein-protein interactions	CEP131		
CEP290	protein-protein interactions	CEP162		
CETN1	protein-protein interactions	CCP110		
CETN1	protein-protein interactions	CEP290		
CHAD	activation	ERK		
CHAD	phosphorylation	ERK		
CNPY4	protein-protein interactions	ARL4D		
CNPY4	protein-protein interactions	CHAD		
DUSP7	activation	ERK		
DUSP7	protein-protein interactions	ERK		
ENKD1	protein-protein interactions	BEGAIN		
ENKD1	protein-protein interactions	CCDC102B		
ERK	activation	CDCA5		
ERK	activation	ERK		
ERK	localization	ERK		
ERK	phosphorylation	CDCA5		
ERK	phosphorylation	ERK		
ERK	protein-protein interactions	DUSP7		
ERK	regulation of binding	ERK		
FAM102A	protein-protein interactions	ENKD1		
FGFR1OP	protein-protein interactions	CEP19		
FGFR1OP	protein-protein interactions	CEP290		
FGFR1OP	protein-protein interactions	FGFR1OP		
FNDC5	activation	ERK		
FNDC5	expression	FNDC5		
FNDC5	phosphorylation	ERK		
HERC2	protein-protein interactions	BEGAIN		
HERC2	protein-protein interactions	CCP110		
HERC2	protein-protein interactions	CEP162		
HERC2	protein-protein interactions	CEP290		
HERC2	protein-protein interactions	HERC2		
HERC2	regulation of binding	HERC2		
HID1	protein-protein interactions	BEGAIN		
adrenoceptor	phosphorylation	ERK		
p38 Sapk	activation	ERK		
