From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
AGT	activation	CFHR1		
AGT	activation	Gpd		
AGT	expression	AGT		
AGT	expression	ANXA3		
AGT	expression	CYP11B		
AGT	expression	CYP11B2		
AGT	expression	DCUN1D3		
AGT	expression	FBXO21		
AGT	expression	GLCCI1		
AGT	localization	AGT		
AGT	localization	CYP11B2		
AGT	regulation of binding	AGT		
AGT	regulation of binding	CPNE8		
AGT	transcription	AGT		
AGT	transcription	CYP11B2		
AGT	transcription	GSS		
AGT	translocation	AGT		
C15orf41	protein-protein interactions	ASF1B		
CDAN1	protein-protein interactions	ASF1B		
CFHR2	protein-protein interactions	CFHR1		
CFHR5	protein-protein interactions	CFHR1		
CHAF1A	protein-protein interactions	ASF1B		
CHAF1A	protein-protein interactions	CHAF1A		
CYP11B	membership	CYP11B2		
CYP11B2	expression	KCNMB1		
CYP11B2	protein-protein interactions	CYP11B2		
Cathepsin	molecular cleavage	AGT		
FBXO21	protein-protein interactions	CNTNAP4		
FBXO21	protein-protein interactions	COLEC11		
FBXO21	protein-protein interactions	EID1		
FBXO21	protein-protein interactions	FAM219A		
GLCCI1	protein-protein interactions	ANKRD24		
GSDMB	protein-protein interactions	AGT		
GSS	protein-protein interactions	GSS		
H3F3A/H3F3B	protein-protein interactions	ASF1B		
H3F3A/H3F3B	protein-protein interactions	CCDC71		
H3F3A/H3F3B	protein-protein interactions	CHAF1A		
H3F3A/H3F3B	protein-protein interactions	DHRS12		
HIST1H2BB	protein-protein interactions	EID1		
HIST1H3B	protein-protein interactions	CHAF1A		
HIST1H3C	protein-protein interactions	ASF1B		
HIST1H3C	protein-protein interactions	CDAN1		
HIST1H3C	protein-protein interactions	CHAF1A		
HIST1H3E	protein-protein interactions	ASF1B		
HIST1H3E	protein-protein interactions	CHAF1A		
HIST1H3E	protein-protein interactions	HIST1H2BB		
HIST1H3E	protein-protein interactions	HIST1H3B		
HIST1H4F	protein-protein interactions	CHAF1A		
HIST1H4F	protein-protein interactions	H3F3A/H3F3B		
HIST1H4F	protein-protein interactions	HIST1H3E		
HIST3H2BB	protein-protein interactions	HIST1H3B		
IPO4	protein-protein interactions	ASF1B		
IPO4	protein-protein interactions	CDAN1		
IPO4	protein-protein interactions	H3F3A/H3F3B		
IPO4	protein-protein interactions	HIST1H3C		
