© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
G protein beta gamma	activation	PREX1		
G protein beta gamma	activation	TRPM1		
G protein beta gamma	protein-protein interactions	PREX1		
PPIH	protein-protein interactions	PPIH		
PREX1	activation	PREX1		
PREX1	protein-protein interactions	G protein beta gamma		
PREX1	protein-protein interactions	PREX1		
PRPF18	protein-protein interactions	PPIH		
PRPF3	protein-protein interactions	PPIH		
PRPF3	protein-protein interactions	PRPF3		
PRPF6	protein-protein interactions	PRPF3		
PRPF6	protein-protein interactions	PRPF6		
QPRT	protein-protein interactions	QPRT		
SAP30BP	protein-protein interactions	RBM17		
SART1	protein-protein interactions	PRPF3		
SART1	protein-protein interactions	PRPF6		
SART1	protein-protein interactions	RBM25		
SART1	protein-protein interactions	SART1		
SF3A1	protein-protein interactions	PHF5A		
SF3A1	protein-protein interactions	QPRT		
SF3A1	protein-protein interactions	RBM17		
SF3A1	protein-protein interactions	SF3A1		
SF3A1	protein-protein interactions	SF3A2		
SF3A1	protein-protein interactions	SF3B3		
SF3A2	protein-protein interactions	PHF5A		
SF3A2	protein-protein interactions	PRCC		
SF3A2	protein-protein interactions	PRPF3		
SF3A2	protein-protein interactions	PRPF6		
SF3A2	protein-protein interactions	QPRT		
SF3A2	protein-protein interactions	RBM17		
SF3A2	protein-protein interactions	RBM25		
SF3A2	protein-protein interactions	SAP30BP		
SF3A2	protein-protein interactions	SART1		
SF3A2	protein-protein interactions	SEC31B		
SF3A2	protein-protein interactions	SF3A1		
SF3A2	protein-protein interactions	SF3A2		
SF3B3	protein-protein interactions	RBM6		
SF3B3	protein-protein interactions	SF3A1		
SF3B3	protein-protein interactions	SF3A2		
SF3B3	protein-protein interactions	SF3B4		
SF3B4	protein-protein interactions	SF3A1		
SF3B4	protein-protein interactions	SF3A2		
SF3B4	protein-protein interactions	SF3B3		
SF3B6	protein-protein interactions	SF3A1		
SF3B6	protein-protein interactions	SF3A2		
SLC30A4	protein-protein interactions	RBM25		
SMNDC1	protein-protein interactions	PREX1		
SMNDC1	protein-protein interactions	PRPF3		
SMNDC1	protein-protein interactions	SART1		
SMNDC1	protein-protein interactions	SF3A2		
SMNDC1	protein-protein interactions	SF3B3		
SMNDC1	protein-protein interactions	SF3B4		
SMNDC1	protein-protein interactions	SF3B6		
SNRNP200	protein-protein interactions	PRPF6		
SNRNP200	protein-protein interactions	SART1		
SNRNP200	protein-protein interactions	SF3A2		
SNRNP200	protein-protein interactions	SMNDC1		
SNRNP200	protein-protein interactions	SNRNP200		
SNRNP40	protein-protein interactions	PRPF3		
SNRNP40	protein-protein interactions	PRPF6		
SNRNP40	protein-protein interactions	SART1		
SNRNP40	protein-protein interactions	SMNDC1		
SNRNP40	protein-protein interactions	SNRNP200		
SNRNP40	protein-protein interactions	SNRNP27		
SNRPA1	protein-protein interactions	SF3A1		
SNRPA1	protein-protein interactions	SF3A2		
SNRPA1	protein-protein interactions	SF3B3		
SNRPA1	protein-protein interactions	SF3B4		
SNRPA1	protein-protein interactions	SMNDC1		
SNRPB	protein-protein interactions	PRPF6		
SNRPB	protein-protein interactions	SF3A1		
SNRPB	protein-protein interactions	SF3A2		
SNRPB	protein-protein interactions	SMNDC1		
SNRPB	protein-protein interactions	SNRNP200		
SNRPB	protein-protein interactions	SNRPA1		
SNRPB	protein-protein interactions	SNRPF		
SNRPB	protein-protein interactions	SNRPG		
SNRPF	protein-protein interactions	SF3A1		
SNRPF	protein-protein interactions	SF3A2		
SNRPF	protein-protein interactions	SNRPA1		
SNRPF	protein-protein interactions	SNRPB		
SNRPF	protein-protein interactions	SNRPG		
SNRPG	protein-protein interactions	SF3A1		
SNRPG	protein-protein interactions	SF3A2		
SNRPG	protein-protein interactions	SNRPA1		
SNRPG	protein-protein interactions	SNRPB		
SNRPG	protein-protein interactions	SNRPF		
SRCAP	protein-protein interactions	QPRT		
SRCAP	protein-protein interactions	SF3A1		
SRCAP	protein-protein interactions	SF3B3		
SS18L1	protein-protein interactions	SF3A1		
SS18L1	protein-protein interactions	SF3B4		
SS18L1	protein-protein interactions	SNRPB		
SS18L1	protein-protein interactions	SS18L1		
TOE1	protein-protein interactions	PRCC		
TOE1	protein-protein interactions	PRPF3		
TOE1	protein-protein interactions	PRPF6		
TOE1	protein-protein interactions	SART1		
TOE1	protein-protein interactions	SF3B3		
TOE1	protein-protein interactions	SNRNP200		
TOE1	protein-protein interactions	SNRNP40		
TOE1	protein-protein interactions	SNRPA1		
TOE1	protein-protein interactions	SNRPB		
TOE1	protein-protein interactions	SNRPG		
TRPM1	activation	TRPM1		
TRPM1	protein-protein interactions	TRPM1		
TRPM1	translocation	TRPM1		
U2SURP	protein-protein interactions	RBM17		
U2SURP	protein-protein interactions	SF3A1		
U2SURP	protein-protein interactions	SF3A2		
WBP4	protein-protein interactions	PRPF3		
WBP4	protein-protein interactions	SART1		
WBP4	protein-protein interactions	SF3A1		
WBP4	protein-protein interactions	SF3A2		
WBP4	protein-protein interactions	SF3B3		
WBP4	protein-protein interactions	SF3B4		
WBP4	protein-protein interactions	SNRPB		
