© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
NMDA Receptor	activation	PANX1		
NMDA Receptor	activation	SLC11A2		
NMDA Receptor	expression	nicotinic acetylcholine receptor		
NMDA Receptor	inhibition	NMDA Receptor		
NMDA Receptor	protein-protein interactions	PANX1		
NMDA Receptor	regulation of binding	NMDA Receptor		
PANX1	protein-protein interactions	NMDA Receptor		
RDH11	protein-protein interactions	RDH11		
RIC3	expression	nicotinic acetylcholine receptor		
RIC3	protein-protein interactions	nicotinic acetylcholine receptor		
RIC8B	protein-protein interactions	RASL10A		
RIPK4	protein-protein interactions	RIPK4		
SGPL1	expression	SPNS2		
SH3BP4	protein-protein interactions	PRR14		
SH3BP4	protein-protein interactions	SH3BP4		
SLC30A5	protein-protein interactions	RIC3		
SRPRB	protein-protein interactions	RDH11		
SRPRB	protein-protein interactions	SGPL1		
ST7	protein-protein interactions	RIC3		
SYNGAP1	localization	SYNGAP1		
SYNGAP1	protein-protein interactions	NMDA Receptor		
SYT11	molecular cleavage	SYT11		
SYT11	ubiquitination	SYT11		
TAPT1	protein-protein interactions	RIC3		
THBS3	protein-protein interactions	RIC8B		
THBS3	protein-protein interactions	RIPK4		
THBS3	protein-protein interactions	RTEL1		
THBS3	protein-protein interactions	SH3BP4		
THBS3	protein-protein interactions	THBS3		
TIGD5	protein-protein interactions	THBS3		
TMEM171	protein-protein interactions	SLC7A2		
TMEM55B	protein-protein interactions	RIC3		
TMEM55B	protein-protein interactions	TBC1D9B		
TMX2	protein-protein interactions	SRPRB		
TRMT44	protein-protein interactions	THBS3		
TTC1	protein-protein interactions	SH3BP4		
TTC1	protein-protein interactions	SRPRB		
TTC1	protein-protein interactions	SYT11		
TTYH3	protein-protein interactions	TMEM171		
TXNDC15	protein-protein interactions	PIGN		
TXNDC15	protein-protein interactions	SGPL1		
TXNDC15	protein-protein interactions	TAPT1		
TXNDC15	protein-protein interactions	TMTC4		
VSIG4	protein-protein interactions	SGPL1		
VSIG4	protein-protein interactions	SH3BP4		
VSIG4	protein-protein interactions	SLC7A2		
VSIG4	protein-protein interactions	TIGD5		
ZBTB37	protein-protein interactions	SH3BP4		
nicotinic acetylcholine receptor	activation	NMDA Receptor		
