From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
ERK1/2	activation	ERK1/2		
ERK1/2	expression	MUC5B		
ERK1/2	phosphorylation	ERK1/2		
ERK1/2	protein-protein interactions	ERK1/2		
ERK1/2	regulation of binding	ERK1/2		
ERK1/2	translocation	ERK1/2		
Exo-alpha-sialidase	membership	NEU1		
Exo-alpha-sialidase	membership	NEU3		
Exo-alpha-sialidase	membership	NEU4		
KIR2DS4 (includes others)	activation	ERK1/2		
KIR2DS4 (includes others)	phosphorylation	ERK1/2		
KIR2DS4 (includes others)	protein-protein interactions	KIR2DS4 (includes others)		
KLRC1	activation	KLRC1		
KLRC1	expression	KLRC1		
KLRC1	inhibition	ERK1/2		
KLRC1	phosphorylation	KLRC1		
KLRC2	activation	ERK1/2		
KLRC2	phosphorylation	ERK1/2		
LAMA1	activation	ERK1/2		
LAMA1	phosphorylation	ERK1/2		
LAMA1	protein-protein interactions	LAMA5		
LAMA1	protein-protein interactions	LAMB1		
LAMA1	protein-protein interactions	LAMB2		
LAMA1	protein-protein interactions	LAMC1		
LAMA5	protein-protein interactions	LAMA5		
LAMA5	protein-protein interactions	LAMB1		
LAMA5	protein-protein interactions	LAMB2		
LAMA5	protein-protein interactions	LAMC1		
LAMB1	localization	LAMC1		
LAMB1	protein-protein interactions	LAMA1		
LAMB1	protein-protein interactions	LAMA5		
LAMB1	protein-protein interactions	LAMC1		
LAMB2	expression	LAMA5		
LAMB2	expression	LAMB1		
LAMB2	protein-protein interactions	LAMA5		
LAMB2	protein-protein interactions	LAMB1		
LAMB2	protein-protein interactions	LAMC1		
LAMC1	localization	LAMB1		
LAMC1	molecular cleavage	LAMC1		
LAMC1	protein-protein interactions	LAMA1		
LAMC1	protein-protein interactions	LAMA5		
LAMC1	protein-protein interactions	LAMB1		
LAMC1	protein-protein interactions	LAMB2		
LAMC1	protein-protein interactions	LAMC1		
LEMD2	activation	ERK1/2		
LRRN1	activation	ERK1/2		
Laminin2	membership	LAMB1		
Laminin2	membership	LAMC1		
MAT2B	activation	ERK1/2		
MAT2B	phosphorylation	ERK1/2		
MAT2B	protein-protein interactions	MAT2B		
MAT2B	regulation of binding	ERK1/2		
MEP1A	protein-protein interactions	LAMA1		
MEP1A	protein-protein interactions	LAMA5		
MEP1A	protein-protein interactions	MEP1A		
MEP1A	protein-protein interactions	MEP1B		
MEP1B	expression	KIF9		
MEP1B	expression	MGAT3		
MEP1B	expression	MYCL		
MEP1B	localization	MEP1A		
MEP1B	protein-protein interactions	MEP1A		
MGAT3	activation	ERK1/2		
MGRN1	activation	ERK1/2		
MGRN1	protein-protein interactions	MGRN1		
MLANA	expression	KIR2DS3		
MLANA	expression	KLRC1		
MLANA	molecular cleavage	MLANA		
MLANA	ubiquitination	MLANA		
MRGPRX1	activation	ERK1/2		
MRGPRX1	phosphorylation	ERK1/2		
MTUS1	activation	ERK1/2		
MTUS1	protein-protein interactions	MTUS1		
MUC5B	protein-protein interactions	KIR2DS4 (includes others)		
MUC7	protein-protein interactions	KIR2DS4 (includes others)		
MUC7	protein-protein interactions	LAMA5		
NARS	protein-protein interactions	MAT2B		
NEU1	activation	ERK1/2		
NEU1	protein-protein interactions	KNDC1		
NTN4	activation	ERK1/2		
NTN4	phosphorylation	ERK1/2		
NTN4	protein-protein interactions	LAMC1		
NTN4	protein-protein interactions	NTN4		
Pki	activation	ERK1/2		
Pki	expression	mir-375		
mir-378	activation	ERK1/2		
mir-378	phosphorylation	ERK1/2		
