From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
C11orf68	protein-protein interactions	C11orf68		
C9orf78	protein-protein interactions	BTBD1		
CA11	ubiquitination	CA11		
CA2	activation	CA2		
CA5A	protein-protein interactions	CA5A		
CA9	activation	CA9		
CA9	protein-protein interactions	CA2		
CNR1	expression	APCDD1		
CNR1	expression	CA9		
CNR1	expression	CNR1		
CNR1	expression	GLO1		
CNR1	inhibition	P-type Calcium Channel		
CNTN6	protein-protein interactions	CHL1		
CST6	protein-protein interactions	C17orf105		
CST6	protein-protein interactions	CA8		
Carbonic anhydrase	membership	CA1		
Carbonic anhydrase	membership	CA11		
Carbonic anhydrase	membership	CA13		
Carbonic anhydrase	membership	CA2		
Carbonic anhydrase	membership	CA3		
Carbonic anhydrase	membership	CA5A		
Carbonic anhydrase	membership	CA6		
Carbonic anhydrase	membership	CA8		
Carbonic anhydrase	membership	CA9		
DAGLA	activation	CNR1		
DISP3	protein-protein interactions	CA2		
ENAM	protein-protein interactions	C11orf68		
ENAM	protein-protein interactions	CA3		
EPN3	protein-protein interactions	BTBD1		
EPN3	protein-protein interactions	BTBD9		
EPN3	protein-protein interactions	CYHR1		
GLO1	protein-protein interactions	GLO1		
HSD17B1	expression	HSD17B7		
HSD17B1	protein-protein interactions	HSD17B1		
HSD17B14	protein-protein interactions	CA8		
HSD17B14	protein-protein interactions	HSD17B14		
HSD17B7	protein-protein interactions	CA1		
KCNE3	expression	BAALC		
KCNE3	expression	CA8		
KCNE3	expression	CDHR5		
KCNE3	expression	CHL1		
KCNE3	expression	CSRNP1		
KCNE3	expression	CST8		
KCNE3	expression	EPN3		
KCNE3	expression	HSD17B7		
KCNE3	protein-protein interactions	C11orf68		
