© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
PEX7	protein-protein interactions	PDCL3		
PEX7	protein-protein interactions	PEX7		
PPP2R2C	expression	PPP2R2C		
PPP2R2C	molecular cleavage	PPP2R2C		
PPP2R2C	protein-protein interactions	PPP2R2C		
PPP2R2C	regulation of binding	PPP2R2C		
PPP2R2C	ubiquitination	PPP2R2C		
PRMT1	activation	PRMT1		
PRMT1	activation	TRAF6		
PRMT1	modification	TRAF6		
PRMT1	protein-protein interactions	PRMT1		
PRMT1	protein-protein interactions	TRAF6		
PRPSAP1	protein-protein interactions	PRPSAP1		
PSPH	protein-protein interactions	PRMT1		
PSPH	protein-protein interactions	PRPSAP1		
PSPH	protein-protein interactions	PSPH		
RBX1	activation	RBX1		
RBX1	molecular cleavage	RHOBTB2		
RBX1	protein-protein interactions	RBX1		
RBX1	protein-protein interactions	RHOBTB2		
RHOBTB2	molecular cleavage	RHOBTB2		
RHOBTB2	protein-protein interactions	RBX1		
RHOBTB2	protein-protein interactions	RHOBTB2		
RHOBTB2	ubiquitination	RHOBTB2		
RHOBTB3	protein-protein interactions	RBX1		
RHOBTB3	protein-protein interactions	RHOBTB2		
RHOBTB3	protein-protein interactions	RHOBTB3		
RIPK3	activation	RIPK3		
RIPK3	phosphorylation	RIPK3		
RIPK3	protein-protein interactions	RIPK3		
RUVBL1	protein-protein interactions	PDCL3		
RUVBL1	protein-protein interactions	PELO		
RUVBL1	protein-protein interactions	RIPK3		
RUVBL1	protein-protein interactions	RUVBL1		
RUVBL1	protein-protein interactions	RUVBL2		
RUVBL1	transcription	TMEM19		
RUVBL1	transcription	TRIM66		
RUVBL2	protein-protein interactions	RIPK3		
RUVBL2	protein-protein interactions	RUVBL1		
RUVBL2	protein-protein interactions	RUVBL2		
SIGIRR	localization	TRAF6		
SIGIRR	protein-protein interactions	SIGIRR		
SIGIRR	protein-protein interactions	TRAF6		
SKA1	protein-protein interactions	PPP2R2C		
SORD	protein-protein interactions	SORD		
STRAP	protein-protein interactions	PRMT1		
STRAP	protein-protein interactions	STRAP		
TAB1	protein-protein interactions	RBX1		
TAB1	protein-protein interactions	RUVBL1		
TAB1	protein-protein interactions	TAB1		
TAB1	protein-protein interactions	TRAF6		
TAB1	regulation of binding	TAB1		
TAB1	regulation of binding	TRAF6		
TCP1	protein-protein interactions	PDCL3		
TCP1	protein-protein interactions	PEX7		
TCP1	protein-protein interactions	POC1A		
TCP1	protein-protein interactions	PPP2R2C		
TCP1	protein-protein interactions	RUVBL1		
TNIK	protein-protein interactions	PRMT1		
TNIK	protein-protein interactions	PRPSAP1		
TNIK	protein-protein interactions	RUVBL2		
TNIK	protein-protein interactions	SORD		
TNIK	protein-protein interactions	STRAP		
TNS2	protein-protein interactions	SDCCAG8		
TNS2	protein-protein interactions	TEKT5		
TRAF6	activation	TAB1		
TRAF6	activation	TRAF6		
TRAF6	localization	TAB1		
TRAF6	localization	TRAF6		
TRAF6	protein-protein interactions	PRMT1		
TRAF6	protein-protein interactions	PRPSAP1		
TRAF6	protein-protein interactions	RUVBL1		
TRAF6	protein-protein interactions	RUVBL2		
TRAF6	protein-protein interactions	SDCCAG8		
TRAF6	protein-protein interactions	SIGIRR		
TRAF6	protein-protein interactions	STRAP		
TRAF6	protein-protein interactions	TAB1		
TRAF6	protein-protein interactions	TARSL2		
TRAF6	protein-protein interactions	TNIK		
TRAF6	protein-protein interactions	TRAF6		
TRAF6	regulation of binding	TAB1		
TRAF6	regulation of binding	TRAF6		
TRAF6	ubiquitination	TRAF6		
TRIM66	protein-protein interactions	TRIM66		
TSSC1	protein-protein interactions	TCP1		
TUFM	protein-protein interactions	TRAF6		
VPS50	protein-protein interactions	TSSC1		
VPS51	protein-protein interactions	TSSC1		
VPS51	protein-protein interactions	VPS50		
VRK2	expression	TCP1		
VRK2	protein-protein interactions	RBX1		
VRK2	protein-protein interactions	TAB1		
VRK2	protein-protein interactions	TCP1		
VRK2	regulation of binding	TAB1		
WWC2	protein-protein interactions	RUVBL1		
WWC2	protein-protein interactions	WWC2		
ZNF586	protein-protein interactions	TNS2		
