© 2000-2016 QIAGEN. All rights reserved. USE OF THIS CONTENT IS SUBJECT TO THE TERMS OF YOUR IPA END USER LICENSE AGREEMENT
From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
Calcineurin A	activation	Calcineurin A		
Calcineurin A	protein-protein interactions	peptidylprolyl isomerase		
Calcineurin A	regulation of binding	peptidylprolyl isomerase		
PDCD6	expression	PEF1		
PDCD6	localization	SHISA5		
PDCD6	protein-protein interactions	PDCD6		
PDCD6	protein-protein interactions	PEF1		
PDCD6	protein-protein interactions	SHISA5		
PEF1	protein-protein interactions	PDCD6		
PPIA	expression	PPIA		
PPIA	protein-protein interactions	PPIA		
PPIC	protein-protein interactions	PPIC		
PPIE	protein-protein interactions	PHF13		
PPIL2	protein-protein interactions	PPIL2		
PRPF8	protein-protein interactions	PPIE		
PRPF8	protein-protein interactions	PPIL1		
PRPF8	protein-protein interactions	PQBP1		
PRPF8	protein-protein interactions	PRPF8		
PRR22	protein-protein interactions	PPIL1		
RBM22	protein-protein interactions	PDCD6		
RBM22	protein-protein interactions	PPIE		
RBM22	translocation	PDCD6		
RNF115	protein-protein interactions	PDCD6		
RNF115	protein-protein interactions	RNF115		
RNF115	ubiquitination	RNF115		
SHISA5	protein-protein interactions	PDCD6		
SLC41A3	protein-protein interactions	PDCD6		
SSSCA1	protein-protein interactions	RNF115		
SSSCA1	protein-protein interactions	RNF166		
SSSCA1	protein-protein interactions	SSSCA1		
SYF2	protein-protein interactions	PPIE		
SYF2	protein-protein interactions	PRPF8		
TBXA2R	expression	TBXA2R		
TBXA2R	molecular cleavage	TBXA2R		
TBXA2R	protein-protein interactions	TBXA2R		
TBXA2R	translocation	TBXA2R		
THOC1	protein-protein interactions	SARNP		
THOC1	protein-protein interactions	THOC1		
THOC1	protein-protein interactions	THOC5		
THOC3	protein-protein interactions	SARNP		
THOC3	protein-protein interactions	THOC1		
THOC5	protein-protein interactions	PPIL1		
THOC5	protein-protein interactions	SARNP		
THOC5	protein-protein interactions	THOC1		
THOC5	protein-protein interactions	THOC3		
TSSC4	protein-protein interactions	PRPF8		
TSSC4	protein-protein interactions	RBM22		
TSSC4	protein-protein interactions	SYF2		
UBL5	protein-protein interactions	PQBP1		
UBL5	protein-protein interactions	PRPF8		
USB1	protein-protein interactions	PPIE		
USB1	protein-protein interactions	RBM22		
USB1	protein-protein interactions	SYF2		
WDR36	protein-protein interactions	SSSCA1		
WDR36	protein-protein interactions	TBXA2R		
WDR83	protein-protein interactions	PPIE		
WDR83	protein-protein interactions	PPIL1		
WDR83	protein-protein interactions	PRPF8		
WDR83	protein-protein interactions	RIMS4		
WDR83	protein-protein interactions	SYF2		
WDR83	protein-protein interactions	TSSC4		
WDR83	protein-protein interactions	UBL5		
WDR83	protein-protein interactions	USB1		
XAB2	protein-protein interactions	PPIE		
XAB2	protein-protein interactions	PRPF8		
XAB2	protein-protein interactions	TSSC4		
XAB2	protein-protein interactions	USB1		
XAB2	protein-protein interactions	WDR83		
ZNHIT2	protein-protein interactions	PRPF8		
ZNHIT2	protein-protein interactions	TSSC4		
ZNHIT2	protein-protein interactions	TTLL3		
peptidylprolyl isomerase	membership	PPIA		
peptidylprolyl isomerase	membership	PPIC		
peptidylprolyl isomerase	membership	PPIE		
peptidylprolyl isomerase	membership	PPIG		
peptidylprolyl isomerase	membership	PPIL1		
peptidylprolyl isomerase	membership	PPIL2		
peptidylprolyl isomerase	protein-protein interactions	Calcineurin A		
