From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
KIF1BP	protein-protein interactions	KIF14		
KIF1BP	protein-protein interactions	KIF18A		
KIFC3	protein-protein interactions	KIFC3		
KLC3	protein-protein interactions	KLC3		
KRT13	protein-protein interactions	KLC3		
KRT13	protein-protein interactions	KLC4		
KRT15	protein-protein interactions	KIFC3		
KRT15	protein-protein interactions	KLC3		
KRT15	protein-protein interactions	KLC4		
KRT6C	protein-protein interactions	KIFC3		
KRT6C	protein-protein interactions	KRT13		
KRT6C	protein-protein interactions	KRT15		
KRT71	protein-protein interactions	KRT13		
KRT71	protein-protein interactions	KRT15		
KRT86	protein-protein interactions	KRT15		
LENG1	protein-protein interactions	KIFC3		
LLGL2	protein-protein interactions	LLGL2		
LRRC4	activation	MARK2		
LRRC4	phosphorylation	MARK2		
LRRC4C	protein-protein interactions	LRRC4C		
MARK2	protein-protein interactions	KLC3		
MARK2	protein-protein interactions	LLGL2		
MARK2	protein-protein interactions	MARK2		
MARK2	protein-protein interactions	atypical protein kinase C		
MOS	protein-protein interactions	KIFC3		
MOS	protein-protein interactions	KLC3		
MOS	protein-protein interactions	KRT13		
MOS	protein-protein interactions	KRT15		
NECAB2	protein-protein interactions	KIFC3		
NECAB2	protein-protein interactions	KLC3		
NECAB2	protein-protein interactions	KLC4		
NECAB2	protein-protein interactions	LENG1		
NECAB2	protein-protein interactions	NECAB2		
NELL2	expression	N-Cadherin		
NIPSNAP1	protein-protein interactions	LLGL2		
NMNAT1	expression	NELL2		
NMNAT1	modification	NELL2		
NMNAT1	protein-DNA interactions	NELL2		
NMNAT1	protein-protein interactions	NMNAT1		
NMNAT1	regulation of binding	NMNAT1		
NTNG2	expression	LRRC4		
NTNG2	protein-protein interactions	LRRC4		
NTNG2	protein-protein interactions	LRRC4C		
Nectin	localization	Par6		
Nectin	localization	atypical protein kinase C		
Nectin	protein-protein interactions	Nectin		
Opsin	membership	OPN3		
Opsin	membership	OPN4		
Par6	activation	atypical protein kinase C		
Par6	protein-protein interactions	KIF3B		
Par6	protein-protein interactions	LRRC4		
Par6	protein-protein interactions	atypical protein kinase C		
Pkc(s)	activation	MARK2		
Pkc(s)	activation	NMNAT1		
Pkc(s)	expression	Opsin		
Pkc(s)	expression	Pkc(s)		
Pkc(s)	inhibition	Pkc(s)		
Pkc(s)	molecular cleavage	MAST2		
Pkc(s)	phosphorylation	NMNAT1		
Pkc(s)	protein-protein interactions	Par6		
Pkc(s)	translocation	Pkc(s)		
atypical protein kinase C	activation	Par6		
atypical protein kinase C	activation	atypical protein kinase C		
atypical protein kinase C	inhibition	MARK2		
atypical protein kinase C	phosphorylation	MARK2		
atypical protein kinase C	protein-protein interactions	MARK2		
atypical protein kinase C	protein-protein interactions	Par6		
mir-103	expression	Pkc(s)		
plus-end-directed kinesin ATPase	membership	KIF14		
plus-end-directed kinesin ATPase	membership	KIF18A		
plus-end-directed kinesin ATPase	membership	KIF19		
plus-end-directed kinesin ATPase	membership	KIF3B		
