From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
KRTAP10-1	protein-protein interactions	KRTAP10-1		
KRTAP10-3	protein-protein interactions	KLHL38		
KRTAP10-3	protein-protein interactions	KRT83		
KRTAP10-3	protein-protein interactions	KRTAP10-1		
KRTAP10-3	protein-protein interactions	KRTAP10-3		
KRTAP10-5	protein-protein interactions	KRTAP10-3		
KRTAP10-5	protein-protein interactions	KRTAP10-5		
KRTAP10-7	protein-protein interactions	KLHL38		
KRTAP10-7	protein-protein interactions	KRT83		
KRTAP10-7	protein-protein interactions	KRTAP10-3		
KRTAP10-7	protein-protein interactions	KRTAP10-5		
KRTAP10-7	protein-protein interactions	KRTAP10-7		
KRTAP10-8	protein-protein interactions	KLHL38		
KRTAP10-8	protein-protein interactions	KRT83		
KRTAP10-8	protein-protein interactions	KRTAP10-3		
KRTAP10-8	protein-protein interactions	KRTAP10-7		
KRTAP10-8	protein-protein interactions	KRTAP10-8		
KRTAP10-9	protein-protein interactions	KLHL38		
KRTAP10-9	protein-protein interactions	KRT83		
KRTAP10-9	protein-protein interactions	KRTAP10-3		
KRTAP10-9	protein-protein interactions	KRTAP10-7		
KRTAP10-9	protein-protein interactions	KRTAP10-8		
KRTAP10-9	protein-protein interactions	KRTAP10-9		
KRTAP12-2	protein-protein interactions	KRTAP10-5		
KRTAP12-2	protein-protein interactions	KRTAP10-8		
KRTAP12-2	protein-protein interactions	KRTAP12-2		
KRTAP2-3/KRTAP2-4	protein-protein interactions	KRTAP10-1		
KRTAP2-3/KRTAP2-4	protein-protein interactions	KRTAP10-5		
KRTAP26-1	protein-protein interactions	KRTAP10-1		
KRTAP26-1	protein-protein interactions	KRTAP10-3		
KRTAP26-1	protein-protein interactions	KRTAP10-5		
KRTAP26-1	protein-protein interactions	KRTAP10-9		
KRTAP26-1	protein-protein interactions	KRTAP12-2		
KRTAP26-1	protein-protein interactions	KRTAP26-1		
KRTAP3-2	protein-protein interactions	KRTAP10-1		
KRTAP3-2	protein-protein interactions	KRTAP10-5		
KRTAP3-2	protein-protein interactions	KRTAP12-2		
KRTAP3-2	protein-protein interactions	KRTAP26-1		
KRTAP3-2	protein-protein interactions	KRTAP3-2		
KRTAP4-11	protein-protein interactions	KRTAP10-3		
KRTAP4-11	protein-protein interactions	KRTAP10-8		
KRTAP4-11	protein-protein interactions	KRTAP10-9		
KRTAP4-12	protein-protein interactions	KRTAP10-1		
KRTAP4-12	protein-protein interactions	KRTAP10-3		
KRTAP4-12	protein-protein interactions	KRTAP10-5		
KRTAP4-12	protein-protein interactions	KRTAP10-8		
KRTAP4-12	protein-protein interactions	KRTAP10-9		
KRTAP4-12	protein-protein interactions	KRTAP26-1		
KRTAP4-12	protein-protein interactions	KRTAP3-2		
KRTAP4-12	protein-protein interactions	KRTAP4-12		
KRTAP5-6	protein-protein interactions	KRTAP10-1		
KRTAP5-6	protein-protein interactions	KRTAP10-3		
KRTAP5-6	protein-protein interactions	KRTAP10-5		
KRTAP5-6	protein-protein interactions	KRTAP10-7		
KRTAP5-6	protein-protein interactions	KRTAP10-8		
KRTAP5-6	protein-protein interactions	KRTAP10-9		
KRTAP5-6	protein-protein interactions	KRTAP26-1		
KRTAP5-6	protein-protein interactions	KRTAP4-12		
KRTAP5-9	protein-protein interactions	KLHL38		
KRTAP5-9	protein-protein interactions	KRTAP10-1		
KRTAP5-9	protein-protein interactions	KRTAP10-3		
KRTAP5-9	protein-protein interactions	KRTAP10-5		
KRTAP5-9	protein-protein interactions	KRTAP10-7		
KRTAP5-9	protein-protein interactions	KRTAP10-8		
KRTAP5-9	protein-protein interactions	KRTAP10-9		
KRTAP5-9	protein-protein interactions	KRTAP12-2		
KRTAP5-9	protein-protein interactions	KRTAP4-11		
KRTAP5-9	protein-protein interactions	KRTAP4-12		
KRTAP5-9	protein-protein interactions	KRTAP5-6		
KRTAP9-4	protein-protein interactions	KRTAP10-1		
KRTAP9-4	protein-protein interactions	KRTAP10-5		
KRTAP9-4	protein-protein interactions	KRTAP10-8		
KRTAP9-4	protein-protein interactions	KRTAP10-9		
KRTAP9-4	protein-protein interactions	KRTAP5-6		
KRTAP9-4	protein-protein interactions	KRTAP5-9		
LCE2C/LCE2D	protein-protein interactions	KRTAP10-5		
LCE2C/LCE2D	protein-protein interactions	KRTAP10-8		
LCE2C/LCE2D	protein-protein interactions	KRTAP10-9		
LCE2C/LCE2D	protein-protein interactions	KRTAP4-12		
LCE2C/LCE2D	protein-protein interactions	LCE2C/LCE2D		
LCE3C	protein-protein interactions	KRTAP10-3		
LCE3C	protein-protein interactions	KRTAP10-5		
LCE3C	protein-protein interactions	KRTAP10-8		
LCE3C	protein-protein interactions	KRTAP10-9		
LCE3C	protein-protein interactions	KRTAP3-2		
LCE3C	protein-protein interactions	KRTAP3-3		
LCE3C	protein-protein interactions	KRTAP5-9		
LCE3C	protein-protein interactions	KRTAP9-4		
LCE3E	protein-protein interactions	KRTAP10-1		
LCE3E	protein-protein interactions	KRTAP10-3		
