From Molecule(s)	Relationship Type	To Molecule(s)	Catalyst(s)	
Cytokeratin	membership	KRT2		
Cytokeratin	membership	KRT4		
Cytokeratin	membership	KRT5		
Cytokeratin	membership	KRT6A		
Cytokeratin	membership	KRT6B		
Cytokeratin	membership	KRT7		
Cytokeratin	membership	KRT9		
KRT31	protein-protein interactions	KRT2		
KRT33B	protein-protein interactions	KRT31		
KRT35	protein-protein interactions	KRT31		
KRT35	protein-protein interactions	KRT33B		
KRT36	protein-protein interactions	KRT31		
KRT36	protein-protein interactions	KRT33B		
KRT36	protein-protein interactions	KRT35		
KRT38	protein-protein interactions	KRT2		
KRT4	protein-protein interactions	KRT33B		
KRT4	protein-protein interactions	KRT38		
KRT5	protein-protein interactions	KRT31		
KRT5	protein-protein interactions	KRT38		
KRT6A	protein-protein interactions	KRT31		
KRT6A	protein-protein interactions	KRT38		
KRT6B	protein-protein interactions	KRT31		
KRT6B	protein-protein interactions	KRT38		
KRT77	protein-protein interactions	KRT31		
KRT79	protein-protein interactions	KRT31		
KRT79	protein-protein interactions	KRT33B		
KRT79	protein-protein interactions	KRT38		
KRT82	protein-protein interactions	KRT31		
KRT82	protein-protein interactions	KRT33B		
KRT82	protein-protein interactions	KRT35		
KRT82	protein-protein interactions	KRT36		
KRT85	protein-protein interactions	KRT31		
KRT85	protein-protein interactions	KRT33B		
KRT85	protein-protein interactions	KRT35		
KRT85	protein-protein interactions	KRT36		
KRT85	protein-protein interactions	KRT82		
Keratin	membership	KRT32		
Keratin	membership	KRT35		
Keratin	membership	KRT36		
MIB2	activation	NFkB (complex)		
MIB2	protein-protein interactions	MIB2		
MKS1	protein-protein interactions	KRT5		
MKS1	protein-protein interactions	KRT6B		
MKS1	protein-protein interactions	KRT73		
MKS1	protein-protein interactions	KRT76		
MKS1	protein-protein interactions	KRT77		
MKS1	protein-protein interactions	KRT78		
MLKL	activation	NFkB (complex)		
NCF1C	activation	NFkB (complex)		
NFKBIL1	activation	NFkB (complex)		
NFKBIL1	protein-protein interactions	KRT77		
NFkB (complex)	activation	NFkB (complex)		
NFkB (complex)	expression	MFHAS1		
NFkB (complex)	expression	NOP14		
NFkB (complex)	expression	NUAK2		
NFkB (complex)	protein-protein interactions	NKIRAS1		
NFkB (complex)	regulation of binding	NFkB (complex)		
NFkB (complex)	transcription	KRT6B		
NFkB (complex)	translocation	NFkB (complex)		
NPHP1	protein-protein interactions	KRT33B		
NPHP1	protein-protein interactions	KRT5		
NPHP1	protein-protein interactions	KRT6A		
NPHP1	protein-protein interactions	KRT73		
NPHP1	protein-protein interactions	KRT77		
NPHP1	protein-protein interactions	KRT9		
NPHP1	protein-protein interactions	NPHP1		
NPHP3	protein-protein interactions	KRT5		
NPHP3	protein-protein interactions	KRT73		
NPHP3	protein-protein interactions	KRT77		
NPHP3	protein-protein interactions	KRT79		
NPHP3	protein-protein interactions	NPHP1		
NPHP4	activation	NPHP1		
NPHP4	localization	NPHP1		
NPHP4	phosphorylation	NPHP1		
NPHP4	protein-protein interactions	KRT2		
NPHP4	protein-protein interactions	KRT31		
NPHP4	protein-protein interactions	KRT35		
NPHP4	protein-protein interactions	KRT5		
NPHP4	protein-protein interactions	KRT6A		
NPHP4	protein-protein interactions	KRT6B		
NPHP4	protein-protein interactions	KRT7		
NPHP4	protein-protein interactions	KRT73		
NPHP4	protein-protein interactions	KRT76		
NPHP4	protein-protein interactions	KRT77		
NPHP4	protein-protein interactions	KRT78		
NPHP4	protein-protein interactions	KRT79		
NPHP4	protein-protein interactions	KRT82		
NPHP4	protein-protein interactions	KRT9		
NPHP4	protein-protein interactions	NPHP1		
NPHP4	regulation of binding	NPHP1		
